Landscape;Category;Transect_type;Aglais urticae;Anthocharis cardamines;Aphantopus hyperantus;Argynnis adippe;Argynnis aglaja;Argynnis niobe;Argynnis paphia;Aricia artaxerxes;Boloria euphrosyne;Boloria selene;Brenthis ino;Callophrys rubi;Carterocephalus silvicola;Celastrina argiolus;Coenonympha arcania;Coenonympha pamphilus;Cupido minimus;Erebia ligea;Erynnis tages;Glaucopsyche alexis;Gonepteryx rhamni;Hesperia comma;Inachis io;Issoria lathonia;Lasiommata maera;Lasiommata megera;Lasiommata petropolitana;Leptidea sinapis/reali;Limenitis populi;Lycaena hippothoe;Lycaena phlaeas;Maniola jurtina;Melitaea athalia;Nymphalis antiopa;Ochlodes sylvanus;Pararge aegeria;Pieris brassicae;Pieris napi;Pieris rapae;Plebejus argus;Plebejus idas;Plebejus optilete;Polygonia c-album;Polyommatus amandus;Polyommatus icarus;Polyommatus semiargus;Thecla betulae;Thymelicus lineola;Vanessa atalanta;Vanessa cardui;Zygaena filipendulae;Zygaena lonicerae;Zygaena viciae
2014;PL.HRD;Pasture;0;0;6;0;0;0;0;0;0;0;1;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
2014;PL.HRD;Powerline;0;0;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2014;PL.HRD;Small road;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2156;NoPL.HRD;Big road;0;0;3;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
2156;NoPL.HRD;Pasture;0;0;7;0;5;0;0;0;0;0;0;0;0;0;12;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;1;0;1;0;0;0
2156;NoPL.HRD;Small road;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0
2333;PL.LRD;Big road;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2333;PL.LRD;Pasture;0;0;15;0;1;0;4;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2333;PL.LRD;Powerline;0;0;32;0;2;0;3;0;0;2;0;0;0;1;5;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
2333;PL.LRD;Small road;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
