Landscape;Category;Transect_type;Species;Indiv
1851;PL.HRD;Between fields;Pieris napi;1
1851;PL.HRD;Between fields;Thymelicus lineola;8
1851;PL.HRD;Big road;Aphantopus hyperantus;14
1851;PL.HRD;Big road;Coenonympha arcania;2
1851;PL.HRD;Big road;Gonepteryx rhamni;1
1851;PL.HRD;Big road;Inachis io;1
1851;PL.HRD;Big road;Ochlodes sylvanus;1
1851;PL.HRD;Big road;Pieris napi;2
1851;PL.HRD;Big road;Thymelicus lineola;5
1851;PL.HRD;Pasture;Aphantopus hyperantus;12
1851;PL.HRD;Pasture;Boloria selene;3
1851;PL.HRD;Pasture;Coenonympha arcania;11
1851;PL.HRD;Pasture;Coenonympha pamphilus;11
1851;PL.HRD;Pasture;Gonepteryx rhamni;1
1851;PL.HRD;Pasture;Leptidea sinapis/reali;1
1851;PL.HRD;Pasture;Maniola jurtina;3
1851;PL.HRD;Pasture;Ochlodes sylvanus;3
1851;PL.HRD;Pasture;Pieris brassicae;1
1851;PL.HRD;Pasture;Pieris napi;2
1851;PL.HRD;Pasture;Polyommatus semiargus;1
1851;PL.HRD;Pasture;Thymelicus lineola;2
1851;PL.HRD;Powerline;Aphantopus hyperantus;3
1851;PL.HRD;Powerline;Boloria euphrosyne;3
1851;PL.HRD;Powerline;Boloria selene;4
1851;PL.HRD;Powerline;Coenonympha arcania;6
1851;PL.HRD;Powerline;Coenonympha pamphilus;8
1851;PL.HRD;Powerline;Lycaena phlaeas;2
1851;PL.HRD;Powerline;Plebejus argus;4
1851;PL.HRD;Powerline;Plebejus idas;2
1851;PL.HRD;Small road;Aphantopus hyperantus;6
1851;PL.HRD;Small road;Ochlodes sylvanus;1
1851;PL.HRD;Small road;Pieris napi;3
1851;PL.HRD;Small road;Plebejus idas;1
1851;PL.HRD;Small road;Thymelicus lineola;9
2014;PL.HRD;Big road;Aphantopus hyperantus;12
2014;PL.HRD;Big road;Coenonympha arcania;1
2014;PL.HRD;Big road;Gonepteryx rhamni;1
2014;PL.HRD;Big road;Inachis io;1
2014;PL.HRD;Big road;Ochlodes sylvanus;3
2014;PL.HRD;Big road;Pieris napi;1
2014;PL.HRD;Big road;Thymelicus lineola;8
2014;PL.HRD;Pasture;Aphantopus hyperantus;6
2014;PL.HRD;Pasture;Brenthis ino;1
