Landscape;Transect_type;Category;bf.sespd;bf.rich;bb.sespd;bb.rich;pp.sespd;pp.rich;TUVA;Powerline;Railway;Road;Public_road;Between_fields;Forest;Arable;Open_areas;Urban;Water;PL;RD
2844;Pasture;PL.HRD;-2,055111884;19;-0,117383129;9;;;0,042654484;0,010892569;0;0,043949659;0,035855766;0,002898357;2,794571767;0,847015119;0,157859594;0;0,0643026;1;1
2844;Powerline;PL.HRD;-1,652086869;13;-0,920587566;4;;;0,042654484;0,010892569;0;0,043949659;0,035855766;0,002898357;2,794571767;0,847015119;0,157859594;0;0,0643026;1;1
2844;Small road;PL.HRD;-0,146857059;9;0,47849916;4;;;0,042654484;0,010892569;0;0,043949659;0,035855766;0,002898357;2,794571767;0,847015119;0,157859594;0;0,0643026;1;1
3897;Big road;PL.HRD;-1,850535099;2;0,632374153;4;;;0,050634283;0,067240503;0;0,044345912;0,075752818;0,000958993;2,727816872;0,206295289;0,408576805;0,019459447;0,398919004;1;1
3897;Pasture;PL.HRD;-0,286126066;4;0,229843102;4;;;0,050634283;0,067240503;0;0,044345912;0,075752818;0,000958993;2,727816872;0,206295289;0,408576805;0,019459447;0,398919004;1;1
3897;Powerline;PL.HRD;-0,037040255;7;1,20667803;3;;;0,050634283;0,067240503;0;0,044345912;0,075752818;0,000958993;2,727816872;0,206295289;0,408576805;0,019459447;0,398919004;1;1
3897;Small road;PL.HRD;0,166059672;6;0,945249932;2;;;0,050634283;0,067240503;0;0,044345912;0,075752818;0,000958993;2,727816872;0,206295289;0,408576805;0,019459447;0,398919004;1;1
4091;Between fields;PL.HRD;-1,429642328;11;-0,907469378;6;;;0,174823404;0,095599524;0;0,0472565;0,035307617;0,000214702;1,809178281;1,384900028;0,427657969;0;0,025061972;1;1
4091;Big road;PL.HRD;-1,55452138;7;-0,774528046;7;;;0,174823404;0,095599524;0;0,0472565;0,035307617;0,000214702;1,809178281;1,384900028;0,427657969;0;0,025061972;1;1
4091;Pasture;PL.HRD;-0,867889638;10;0,944016718;7;;;0,174823404;0,095599524;0;0,0472565;0,035307617;0,000214702;1,809178281;1,384900028;0,427657969;0;0,025061972;1;1
4091;Powerline;PL.HRD;-0,853312744;14;-0,39708302;7;;;0,174823404;0,095599524;0;0,0472565;0,035307617;0,000214702;1,809178281;1,384900028;0,427657969;0;0,025061972;1;1
4091;Small road;PL.HRD;-0,335136579;9;0,515902407;4;;;0,174823404;0,095599524;0;0,0472565;0,035307617;0,000214702;1,809178281;1,384900028;0,427657969;0;0,025061972;1;1
4319;Between fields;NoPL.HRD;-0,734966919;7;0,146921303;2;;;0,215827594;0;0;0,042672479;0,045842893;0,008880752;1,889997024;1,389974364;0,402964706;0,003842476;0;0;1
4319;Big road;NoPL.HRD;0,288442227;9;-1,360787943;9;;;0,215827594;0;0;0,042672479;0,045842893;0,008880752;1,889997024;1,389974364;0,402964706;0,003842476;0;0;1
4319;Pasture;NoPL.HRD;-0,636459074;9;-0,762521073;4;;;0,215827594;0;0;0,042672479;0,045842893;0,008880752;1,889997024;1,389974364;0,402964706;0,003842476;0;0;1
4319;Small road;NoPL.HRD;-1,163041168;10;0,928358007;8;;;0,215827594;0;0;0,042672479;0,045842893;0,008880752;1,889997024;1,389974364;0,402964706;0,003842476;0;0;1
5041;Between fields;NoPL.HRD;-0,093208973;11;-0,957821986;6;;;0,183957604;0;0;0,04422904;0,027527495;0,002419761;1,995715364;1,047657754;0,392282644;0;0,306210311;0;1
5041;Big road;NoPL.HRD;-0,417083978;6;-1,983951327;6;;;0,183957604;0;0;0,04422904;0,027527495;0,002419761;1,995715364;1,047657754;0,392282644;0;0,306210311;0;1
5041;Pasture;NoPL.HRD;-0,485706593;11;0,01613635;2;;;0,183957604;0;0;0,04422904;0,027527495;0,002419761;1,995715364;1,047657754;0,392282644;0;0,306210311;0;1
5041;Small road;NoPL.HRD;-0,578407852;5;0,945249932;2;;;0,183957604;0;0;0,04422904;0,027527495;0,002419761;1,995715364;1,047657754;0,392282644;0;0,306210311;0;1
5166;Between fields;NoPL.LRD;0,282875182;10;1,109618755;6;;;0,222395971;0;0;0,019581111;0,007536455;0,010784423;2,238530976;1,232538729;0,268644462;0;0;0;0
5166;Big road;NoPL.LRD;0,960640593;8;-2,210653052;7;;;0,222395971;0;0;0,019581111;0,007536455;0,010784423;2,238530976;1,232538729;0,268644462;0;0;0;0
5166;Pasture;NoPL.LRD;-1,934195768;7;-0,267681531;6;;;0,222395971;0;0;0,019581111;0,007536455;0,010784423;2,238530976;1,232538729;0,268644462;0;0;0;0
5166;Small road;NoPL.LRD;-0,786335912;10;-1,40268975;8;;;0,222395971;0;0;0,019581111;0,007536455;0,010784423;2,238530976;1,232538729;0,268644462;0;0;0;0
5561;Big road;PL.LRD;0,871137901;6;0;1;;;0,047711929;0,062784205;0;0,00919674;0,007244539;0,008659233;2,464619882;1,188010645;0,21177264;0;0;1;0
5561;Pasture;PL.LRD;-0,881839109;10;0,201224433;3;;;0,047711929;0,062784205;0;0,00919674;0,007244539;0,008659233;2,464619882;1,188010645;0,21177264;0;0;1;0
5561;Powerline;PL.LRD;-0,771823249;16;1,495226627;6;;;0,047711929;0,062784205;0;0,00919674;0,007244539;0,008659233;2,464619882;1,188010645;0,21177264;0;0;1;0
5561;Small road;PL.LRD;-0,111795044;10;-1,371378341;4;;;0,047711929;0,062784205;0;0,00919674;0,007244539;0,008659233;2,464619882;1,188010645;0,21177264;0;0;1;0
5683;Big road;NoPL.LRD;1,436168961;3;1,974060697;6;;;0,040817787;0;0;0,026267996;0,006126369;0,002197111;3,041547609;0,624219051;0,255277175;0,003546817;0;0;0
5683;Pasture;NoPL.LRD;0,095069878;8;-0,451126217;4;;;0,040817787;0;0;0,026267996;0,006126369;0,002197111;3,041547609;0,624219051;0,255277175;0,003546817;0;0;0
5683;Small road;NoPL.LRD;2,16742355;8;0,615266762;11;;;0,040817787;0;0;0,026267996;0,006126369;0,002197111;3,041547609;0,624219051;0,255277175;0,003546817;0;0;0
5798;Between fields;PL.HRD;-1,315330048;5;-0,768141528;4;;;0,090140399;0,014380181;0;0,040305603;0,044756932;0,010260324;1,962744023;1,703190663;0,13422165;0;0;1;1
5798;Big road;PL.HRD;-0,821299234;3;-1,67033499;2;;;0,090140399;0,014380181;0;0,040305603;0,044756932;0,010260324;1,962744023;1,703190663;0,13422165;0;0;1;1
5798;Pasture;PL.HRD;0,292524488;4;-1,481538255;2;;;0,090140399;0,014380181;0;0,040305603;0,044756932;0,010260324;1,962744023;1,703190663;0,13422165;0;0;1;1
5798;Powerline;PL.HRD;-0,672790318;15;-0,817848114;6;;;0,090140399;0,014380181;0;0,040305603;0,044756932;0,010260324;1,962744023;1,703190663;0,13422165;0;0;1;1
5798;Small road;PL.HRD;-0,213859169;10;0,933428685;7;;;0,090140399;0,014380181;0;0,040305603;0,044756932;0,010260324;1,962744023;1,703190663;0,13422165;0;0;1;1
5834;Between fields;PL.LRD;0,32799736;5;-0,93039622;3;;;0,093455081;0,044790858;0;0,026441334;0,003135431;0,006699916;2,677986281;0,912420686;0,235070332;0;0;1;0
